name	freq
deux	15
touristes	13
attaque	12
polonais	10
allemands	8
espagnols	8
italiens	8
tunis	8
tunisiens	8
abattus	5
assaillants	5
dont	5
forces	5
intervention	5
lors	5
morts	5
police	5
personnes	4
président	4
revendiquée	4
tuées	4
tués	4
acte	3
charles	3
dénonce	3
écœurant	3
michel	3
odieux	3
tusk	3
belges	2
blessés	2
complices	2
confirmé	2
conseil	2
crise	2
donald	2
européen	2
image	2
intéresse	2
mois	2
monomaniaque	2
nouveau	2
politiques	2
possibles	2
quatre	2
réactions	2
recherchés	2
russe	2
toutes	2
trois	2
