name	freq
attaque	41
deux	37
tunis	33
touristes	31
tunisiens	23
tunisie	21
musée	20
morts	17
assaillants	16
bardo	16
belge	15
dont	14
tués	14
abattus	12
belgique	11
lors	11
forces	10
terroriste	10
attentat	9
allemands	8
espagnols	8
intervention	8
italiens	8
police	8
polonais	8
bilan	7
blessé	7
pays	7
personnes	7
revendiquée	7
sait	6
tunisien	6
tunisienne	6
acte	5
car	5
fait	5
parmi	5
aller	4
communauté	4
contre	4
dénonce	4
etat	4
islamique	4
point	4
terroristes	4
touriste	4
tuées	4
alourdit	3
attaqué	3
aussi	3
