name	freq
vidéo	8
américain	7
obama	7
plan	7
ans	4
hiroshima	4
nucléaire	4
président	4
accord	3
américains	3
anniversaire	3
atomique	3
barack	3
bombe	3
contre	3
donald	3
etatsunis	3
guerre	3
japon	3
lundi	3
milliardaire	3
premier	3
présenté	3
trump	3
après	2
avion	2
bientôt	2
bombardement	2
brevet	2
capitulation	2
célèbre	2
changement	2
charbon	2
climatique	2
concorde	2
conduit	2
congrès	2
émotion	2
énergie	2
enfants	2
fin	2
heure	2
iranien	2
jeudi	2
lancée	2
londres	2
lutte	2
marqué	2
monde	2
mondiale	2
