name	freq
selon	37
crash	34
germanwings	34
avion	27
français	27
ministre	27
plus	23
bord	21
compagnie	21
victimes	21
airbus	18
allemande	18
deux	18
france	18
déclaré	16
premier	16
françaises	15
depuis	14
mardi	14
accident	13
allemands	13
appareil	13
copilote	13
fait	13
personnes	13
vol	13
ans	12
après	12
catastrophe	12
düsseldorf	12
espagne	12
etat	12
morts	12
parmi	12
président	12
terrorisme	12
affaires	11
ainsi	11
aussi	11
autorités	11
marche	11
passagers	11
place	11
près	11
zone	11
allemagne	10
alors	10
alpes	10
avoir	10
barcelone	10
