name	freq
france	50
français	36
attaque	34
plus	32
tunisie	31
pays	29
attentat	26
islam	25
morts	25
après	22
accord	21
fait	21
ministre	21
etat	19
jihadiste	19
contre	18
deux	18
être	18
près	18
président	18
selon	18
aussi	17
faire	16
indiqué	16
très	16
dont	15
entre	15
hier	15
personnes	15
services	15
afp	14
faut	14
mois	14
musulmans	14
trois	14
ainsi	13
attentats	13
comme	13
française	13
moins	13
paris	13
région	13
république	13
touristes	13
vendredi	13
depuis	12
dit	12
face	12
hôtel	12
janvier	12
