name	freq
libye	29
terroristes	18
sécurité	16
selon	16
attentat	15
hier	14
tunisie	14
contre	13
présidentielle	13
deux	12
dont	11
etat	11
plus	11
tunis	11
après	10
attaque	10
fait	10
garde	10
jours	10
nationale	10
pays	10
terrorisme	10
autorités	9
groupe	9
ministère	9
personnes	9
terroriste	9
ben	8
communiqué	8
fermeture	8
frontière	8
gouvernement	8
indiqué	8
mardi	8
novembre	8
plusieurs	8
ans	7
autres	7
déclaré	7
depuis	7
dernier	7
forces	7
hôtel	7
intérieur	7
mesures	7
source	7
trois	7
agents	6
ailleurs	6
annoncé	6
