name	freq
syrie	17
croatie	8
migrants	8
irak	5
autres	4
chose	4
désormais	4
europe	4
famille	4
guerre	4
milliers	4
réfugiés	4
syrien	4
alassad	3
ans	3
bachar	3
daech	3
deux	3
etatsunis	3
frontière	3
hongrie	3
îles	3
mardi	3
migrantsfuyant	3
milliardaire	3
russes	3
syrienne	3
videos	3
accueillir	2
achat	2
après	2
arrivent	2
aviation	2
barricader	2
cadre	2
chaque	2
chercher	2
chrétienne	2
combat	2
contre	2
décision	2
déployés	2
depuis	2
dévastée	2
devenue	2
donner	2
due	2
égyptien	2
entrée	2
exemple	2
