name	freq
tunis	84
attaque	57
musée	50
bardo	46
deux	42
touristes	40
attentat	35
mercredi	35
français	30
terroriste	30
dont	28
armés	26
hommes	25
tunisie	23
menée	19
morts	19
direct	17
étrangers	17
plein	17
tués	15
moins	14
trois	13
tunisien	13
bilan	12
personnes	12
selon	12
tuées	12
troisième	11
feu	10
connu	9
depuis	9
fait	9
mijournée	9
parmi	9
contre	8
ouvert	8
pire	8
tunisienne	8
avant	7
bus	7
descendant	7
dixsept	7
matin	7
assaillants	6
lourd	6
meurtrière	6
mitoyen	6
président	6
videos	6
agit	5
