name	freq
allemand	9
helmut	8
schmidt	8
âge	7
ans	6
euros	6
allemagne	5
ancien	5
chancelier	5
mort	5
français	4
milliards	4
millions	4
chez	3
politique	3
accords	2
afin	2
aider	2
anecdotes	2
angela	2
ankara	2
appelés	2
appliquer	2
assemblée	2
beaucoup	2
caractérisent	2
chancelière	2
couleurs	2
devrait	2
dissuader	2
drapeau	2
dublin	2
etats	2
éteint	2
européen	2
exchancelier	2
fait	2
france	2
grand	2
hollande	2
hommage	2
immigration	2
informations	2
mardi	2
membres	2
merkel	2
migrants	2
monuments	2
nouveau	2
novembre	2
