name	freq
crash	8
airbus	7
victimes	5
espagne	4
germanwings	4
parti	4
allemands	3
barcelone	3
compagnie	3
différentes	3
espagnols	3
agrège	2
amateurs	2
américains	2
aperçu	2
appareil	2
attendues	2
avoir	2
comptabilité	2
cost	2
données	2
dusseldorf	2
équipage	2
familles	2
felipe	2
filiale	2
flightradar	2
gouvernements	2
juge	2
low	2
lufthansa	2
mardi	2
membres	2
moins	2
morts	2
nationalités	2
officielle	2
passagers	2
permet	2
populaire	2
précisé	2
premier	2
quinzaine	2
radars	2
reliait	2
réseau	2
respectifs	2
roi	2
site	2
transportait	2
