name	freq
libye	11
naufrage	8
personnes	8
dimanche	7
survivants	7
ambassade	6
deux	6
devant	6
méditerranée	6
chaviré	5
italiennes	5
large	5
sicile	5
bombe	4
etat	4
explosion	4
fait	4
islamique	4
migrants	4
rescapés	4
arrêtés	3
arrivent	3
autorités	3
centaines	3
chalutier	3
côtes	3
cours	3
environ	3
équipage	3
être	3
europe	3
membres	3
navire	3
parties	3
recherches	3
retrouver	3
soupçonnant	3
toujours	3
transportait	3
armés	2
attaque	2
avant	2
bord	2
corée	2
espagne	2
hcr	2
hommes	2
marocaine	2
morts	2
peu	2
