name	freq
mexique	11
éruption	6
oléoduc	6
volcan	5
colima	4
golfe	4
keystone	4
vendredi	4
cannabis	3
légalisation	3
reliant	3
actif	2
alberta	2
américain	2
bitumineux	2
canadienne	2
canadiens	2
climatique	2
club	2
compagnie	2
construction	2
controversé	2
coup	2
cour	2
débat	2
demande	2
dernière	2
dossier	2
encore	2
enterre	2
entré	2
fumée	2
gaz	2
juillet	2
lundi	2
marijuana	2
nouveau	2
nuage	2
obama	2
octobre	2
permis	2
personnes	2
porte	2
premier	2
président	2
projet	2
projetant	2
quatre	2
réchauffement	2
redevenu	2
