name	freq
népal	39
séisme	33
plus	20
après	18
katmandou	12
frappé	11
pays	11
heure	10
morts	10
catastrophe	9
humain	8
terre	8
aide	7
encore	7
monde	7
puissant	7
tremblement	7
ampleur	6
bilan	6
désastre	6
difficile	6
matériel	6
patrimonial	6
samedi	6
secours	6
weekend	6
capitale	5
gorkha	5
mesurer	5
parmi	5
avant	4
avril	4
bâtiments	4
depuis	4
économique	4
épicentre	4
humanitaire	4
magnitude	4
pauvres	4
poumon	4
quoi	4
répliques	4
ruines	4
très	4
vivait	4
alourdit	3
comment	3
décimé	3
face	3
habitants	3
