name	freq
camp	9
damas	6
yarmouk	6
mercredi	5
palestinien	5
etat	4
islamique	4
palestiniens	4
portes	4
après	3
combattants	3
djihadistes	3
dont	3
front	3
israéliens	3
syrie	3
affrontant	2
aknaf	2
allié	2
almakdis	2
alnosra	2
antiassad	2
attaque	2
aussi	2
autorités	2
avoir	2
baït	2
celle	2
cisjordanie	2
cour	2
craignant	2
déployé	2
depuis	2
détenus	2
deux	2
disparition	2
dizaines	2
empare	2
enlèvement	2
essentiel	2
groupe	2
homme	2
internationale	2
jamais	2
lancé	2
milices	2
offensive	2
palestine	2
pénale	2
policiers	2
