name	freq
avion	13
moscou	12
russe	11
paris	9
français	8
poutine	8
russie	8
chasse	7
syrie	7
vladimir	6
alassad	5
approché	5
président	5
ambassadeur	4
daech	4
délégation	4
incident	4
parlementaire	4
suisse	4
syrien	4
transportant	4
bachar	3
contre	3
grand	3
irakien	3
ligne	3
politique	3
visite	3
affichent	2
alep	2
après	2
armée	2
aussi	2
avancées	2
aviation	2
certaine	2
chaliand	2
chaos	2
chiites	2
chrétiens	2
cohérence	2
combats	2
compatriotes	2
concertés	2
conquête	2
conscience	2
contenues	2
convocation	2
convoquant	2
danger	2
