name	freq
arabie	10
saoudite	10
trêve	8
yémen	6
etatsunis	4
sommet	4
attachement	3
autant	3
coalition	3
condamné	3
humanitaire	3
liens	3
menée	3
plein	3
réaffirme	3
retenue	3
saoudien	3
ville	3
afrique	2
alfawwaz	2
ambassades	2
américaines	2
annonce	2
après	2
attentats	2
ben	2
ccg	2
conseil	2
contre	2
coopération	2
djihadistes	2
doit	2
entre	2
etat	2
etats	2
frontalière	2
golfe	2
irak	2
islamique	2
khalid	2
laden	2
lieutenant	2
négociations	2
participera	2
perpétuité	2
personnes	2
ramadi	2
resserrer	2
roi	2
situation	2
