name	freq
syrie	34
etat	22
islamique	22
irak	20
palmyre	20
ville	13
djihadistes	12
deux	9
ramadi	9
antique	8
contrôle	8
pris	7
cité	6
entre	5
images	5
plus	5
quasitotalité	5
syrienne	5
alassad	4
bachar	4
combattants	4
dernier	4
empare	4
patrimoine	4
postefrontière	4
province	4
site	4
stratégique	4
villes	4
ainsi	3
arabie	3
armée	3
armés	3
assure	3
avancée	3
capitale	3
conflits	3
emparé	3
frontalière	3
jordanie	3
joyau	3
mains	3
montreraient	3
pays	3
pourquoi	3
prenant	3
réseaux	3
saoudite	3
sociaux	3
stratégiques	3
