name	freq
istanbul	19
deux	14
otage	13
turquie	13
procureur	12
extrême	8
gauche	8
mort	8
prise	7
après	6
mardi	6
pouvoir	6
tribunal	6
berkin	5
elvan	5
enquêtait	5
exercée	5
flambée	5
police	5
politiques	5
pris	5
répression	5
symbole	5
violences	5
violente	5
élections	4
juin	4
législatives	4
lendemain	4
militants	4
mois	4
quartier	4
tirs	4
avoir	3
car	3
équipe	3
fusillade	3
individus	3
marxiste	3
meurtrière	3
parti	3
plusieurs	3
retenu	3
révolutionnaire	3
action	2
akp	2
alors	2
ans	2
antalya	2
arrêtés	2
