name	freq
etatsunis	28
pape	18
françois	14
syrie	12
américains	9
contre	7
visite	7
climat	6
deux	6
discours	5
faire	5
poutine	5
première	5
président	5
usine	5
washington	5
américain	4
bus	4
chine	4
collision	4
divisés	4
évêques	4
immigration	4
irak	4
onu	4
plus	4
projet	4
seattle	4
accord	3
apparaissent	3
assemblée	3
boeing	3
brutale	3
chinois	3
commande	3
comme	3
congrès	3
court	3
démocrate	3
depuis	3
doit	3
entre	3
etat	3
exprimer	3
générale	3
hausse	3
important	3
islamique	3
jinping	3
jours	3
